CityName,TotalCases,TotalDeaths
Adana,241,4
Adıyaman,32,2
Afyonkarahisar,18,1
Ağrı,31,0
Aksaray,5,0
Amasya,38,1
Ankara,860,14
Antalya,220,4
Ardahan,5,0
Artvin,20,0
Aydın,20,1
Balıkesir,106,6
Bartın,9,1
Batman,9,1
Bayburt,23,1
Bilecik,16,0
Bingöl,10,0
Bitlis,22,0
Bolu,19,0
Burdur,3,0
Bursa,259,8
Çanakkale,30,3
Çankırı,25,1
Çorum,35,1
Denizli,86,3
Diyarbakır,46,2
Düzce,32,0
Edirne,91,3
Elazığ,12,1
Erzincan,15,2
Erzurum,79,0
Eskişehir,118,5
Gaziantep,49,1
Giresun,73,3
Gümüşhane,12,0
Hakkari,2,0
Hatay,32,0
Iğdır,26,0
Isparta,289,2
İstanbul,12231,210
İzmir,1105,27
Kahramanmaraş,28,1
Karabük,20,1
Karaman,14,1
Kars,18,2
Kastamonu,26,0
Kayseri,130,4
Kırıkkale,23,1
Kırklareli,49,0
Kırşehir,7,0
Kilis,17,0
Kocaeli,500,14
Konya,601,14
Kütahya,5,1
Malatya,66,5
Manisa,100,2
Mardin,51,4
Mersin,17,0
Muğla,46,5
Muş,14,0
Nevşehir,27,0
Niğde,12,0
Ordu,88,1
Osmaniye,47,2
Rize,101,3
Sakarya,337,4
Samsun,167,4
Siirt,44,0
Sinop,35,3
Sivas,80,1
Şanlıurfa,18,1
Şırnak,9,0
Tekirdağ,121,2
Tokat,90,6
Trabzon,87,9
Tunceli,6,0
Uşak,40,4
Van,24,2
Yalova,64,1
Yozgat,15,3
Zonguldak,197,12
